Date,Open,High,Low,Close,Volume
2018-10-22 06-AM,6618.67,6635.13,6618.53,6635.13,3.65
2018-10-22 05-AM,6625.32,6630.89,6618.46,6618.67,9.28
2018-10-22 04-AM,6601,6628.29,6601,6625.32,1.99
2018-10-22 03-AM,6589.08,6603.86,6589,6601,2.14
2018-10-22 02-AM,6605.21,6610,6589.08,6589.08,2.6
2018-10-22 01-AM,6592.68,6605.21,6588.77,6605.21,6.24
2018-10-22 12-AM,6592.25,6594.66,6559.44,6592.68,14.37
2018-10-21 11-PM,6600,6600,6575.36,6592.25,6.8
2018-10-21 10-PM,6629.14,6629.14,6594.4,6600,25.33
2018-10-21 09-PM,6631.22,6632.24,6623.86,6629.14,8.2
2018-10-21 08-PM,6632,6632,6625.87,6631.22,1.52
2018-10-21 07-PM,6628.3,6632,6624.49,6632,1.69
2018-10-21 06-PM,6637.08,6637.08,6626.59,6628.3,8.59
2018-10-21 05-PM,6638.64,6645.08,6623.8,6637.08,9.56
2018-10-21 04-PM,6643.4,6647.07,6638.5,6638.64,2.84
2018-10-21 03-PM,6654.66,6659.18,6633.99,6643.4,15.95
2018-10-21 02-PM,6637.64,6662.38,6637.64,6654.66,12.45
2018-10-21 01-PM,6623.34,6640,6622.06,6637.64,0.6414
2018-10-21 12-PM,6624.46,6624.84,6616.16,6623.34,1.61
2018-10-21 11-AM,6645.2,6645.2,6617.68,6624.46,8.59
2018-10-21 10-AM,6625,6645.2,6625,6645.2,6.12
2018-10-21 09-AM,6632.23,6635.51,6617.48,6625,3.17
2018-10-21 08-AM,6626.93,6641.84,6619.15,6632.23,8.87
2018-10-21 07-AM,6616.62,6626.93,6612.81,6626.93,0.9782
2018-10-21 06-AM,6618.09,6624,6613.07,6616.62,1.47
2018-10-21 05-AM,6628.47,6628.47,6612.81,6618.09,1.34
2018-10-21 04-AM,6621.28,6631.38,6612.81,6628.47,3.71
2018-10-21 03-AM,6625.66,6630.73,6615.03,6621.28,3.09
2018-10-21 02-AM,6628.02,6630,6619.56,6625.66,3.48
2018-10-21 01-AM,6594.11,6653.49,6594.11,6628.02,18.99
2018-10-21 12-AM,6592.94,6595.36,6582.87,6594.11,0.3726
2018-10-20 11-PM,6594.45,6594.45,6571.87,6592.94,1.91
2018-10-20 10-PM,6588.68,6594.86,6588.68,6594.45,1.32
2018-10-20 09-PM,6594.77,6595.02,6588.68,6588.68,7.18
2018-10-20 08-PM,6584.79,6595.06,6578.82,6594.77,8.54
2018-10-20 07-PM,6567,6584.92,6564.31,6584.79,8.47
2018-10-20 06-PM,6583.29,6583.29,6562.44,6567,11.88
2018-10-20 05-PM,6571,6588.57,6571,6583.29,11.3
2018-10-20 04-PM,6575.94,6580.05,6570.42,6571,2.65
2018-10-20 03-PM,6591.97,6593.92,6572,6575.94,9.97
