Date,Open,High,Low,Close,Volume
2020-01-13 02-PM,8068.23,8090.27,8058.99,8080.42,88.41
2020-01-13 01-PM,8083.85,8109.03,8067.46,8068.23,181.45
2020-01-13 12-PM,8072.83,8094.76,8040.54,8083.85,344.44
2020-01-13 11-AM,8113.99,8123.53,8067.04,8072.83,268.47
2020-01-13 10-AM,8102.67,8119.37,8084.12,8113.99,228.58
2020-01-13 09-AM,8120,8120.22,8072.25,8102.67,199.92
2020-01-13 08-AM,8068.88,8120,8053.27,8120,304.77
2020-01-13 07-AM,8048,8084.66,8039,8068.88,172.02
2020-01-13 06-AM,8082.16,8114.17,8044.48,8048,244.31
2020-01-13 05-AM,8109.54,8109.54,8069.34,8082.16,343.2
2020-01-13 04-AM,8095.79,8114.16,8080.82,8109.54,16.02
2020-01-13 03-AM,8104.2,8120,8080,8095.79,143.86
2020-01-13 02-AM,8147.56,8152.46,8104.2,8104.2,150.5
2020-01-13 01-AM,8143.36,8157.27,8132.29,8147.56,57.44
2020-01-13 12-AM,8180.76,8196.81,8132.31,8143.36,178.19
2020-01-12 11-PM,8152.33,8184,8130.66,8180.76,87.26
2020-01-12 10-PM,8088.05,8166.38,8088.05,8152.33,116.71
2020-01-12 09-PM,8139.09,8142.33,8088.05,8088.05,62.68
2020-01-12 08-PM,8121.36,8150.39,8121.36,8139.09,45.61
2020-01-12 07-PM,8113.39,8154.58,8113.12,8121.36,85.91
2020-01-12 06-PM,8097.01,8127.19,8081,8113.39,51.46
2020-01-12 05-PM,8102.42,8190,8070.01,8097.01,295.73
2020-01-12 04-PM,8141.25,8169.5,8091.89,8102.42,88.74
2020-01-12 03-PM,8129.75,8165,8129.75,8141.25,35.75
2020-01-12 02-PM,8163.57,8180,8117.81,8129.75,125.62
2020-01-12 01-PM,8132.98,8166,8113.31,8163.57,51.06
2020-01-12 12-PM,8105,8162.58,8104.3,8132.98,65.36
2020-01-12 11-AM,8117.96,8129.19,8096.72,8105,34.77
2020-01-12 10-AM,8132.44,8134.82,8088.94,8117.96,54.82
2020-01-12 09-AM,8138.3,8155.64,8114.81,8132.44,135.18
2020-01-12 08-AM,8094.34,8140.75,8080.83,8138.3,88.06
2020-01-12 07-AM,8074.74,8104.42,8074.6,8094.34,20.03
2020-01-12 06-AM,8096.09,8150.33,8074.74,8074.74,98.92
2020-01-12 05-AM,8067.34,8102.57,8066.36,8096.09,18.16
